cwe_id,name,weakness_abstraction,status,description,extended_description,background_details,comments
CWE-1010,Authenticate Actors,NULL,Draft,Weaknesses in this category are related to the design and architecture of authentication components of the system. Frequently these deal with verifying the entity is indeed who it claims to be. The weaknesses in this category could lead to a degradation of the quality of authentication if they are not addressed when designing or implementing a secure architecture.,NULL,NULL,NULL
CWE-1011,Authorize Actors,NULL,Draft,"Weaknesses in this category are related to the design and architecture of a system's authorization components. Frequently these deal with enforcing that agents have the required permissions before performing certain operations, such as modifying data. The weaknesses in this category could lead to a degredation of quality of the authorization capability if they are not addressed when designing or implementing a secure architecture.",NULL,NULL,NULL
CWE-1012,Cross Cutting,NULL,Draft,"Weaknesses in this category are related to the design and architecture of multiple security tactics and how they affect a system. For example, information exposure can impact the Limit Access and Limit Exposure security tactics. The weaknesses in this category could lead to a degradation of the quality of many capabilities if they are not addressed when designing or implementing a secure architecture.",NULL,NULL,NULL
CWE-1013,Encrypt Data,NULL,Draft,Weaknesses in this category are related to the design and architecture of data confidentiality in a system. Frequently these deal with the use of encryption libraries. The weaknesses in this category could lead to a degradation of the quality data encyprtion if they are not addressed when designing or implementing a secure architecture.,NULL,NULL,NULL
CWE-1014,Identify Actors,NULL,Draft,Weaknesses in this category are related to the design and architecture of a system's identification management components. Frequently these deal with verifying that external agents provide inputs into the system. The weaknesses in this category could lead to a degradation of the quality of identification maangment if they are not addressed when designing or implementing a secure architecture.,NULL,NULL,NULL
CWE-1015,Limit Access,NULL,Draft,"Weaknesses in this category are related to the design and architecture of system resources. Frequently these deal with restricting the amount of resources that are accessed by actors, such as memory, network connections, CPU or access points. The weaknesses in this category could lead to a degradation of the quality of authentication if they are not addressed when designing or implementing a secure architecture.",NULL,NULL,NULL
CWE-1016,Limit Exposure,NULL,Draft,Weaknesses in this category are related to the design and architecture of the entry points to a system. Frequently these deal with minimizing the attack surface through designing the system with the least needed amount of entry points. The weaknesses in this category could lead to a degradation of a system's defenses if they are not addressed when designing or implementing a secure architecture.,NULL,NULL,NULL
CWE-1017,Lock Computer,NULL,Draft,Weaknesses in this category are related to the design and architecture of a system's lockout mechanism. Frequently these deal with scenarios that take effect in case of multiple failed attempts to access a given resource. The weaknesses in this category could lead to a degradation of access to system assets if they are not addressed when designing or implementing a secure architecture.,NULL,NULL,NULL
CWE-1018,Manage User Sessions,NULL,Draft,Weaknesses in this category are related to the design and architecture of session managment. Frequently these deal with the information or status about each user and their access rights for the duration of multiple requests. The weaknesses in this category could lead to a degradation of the quality of session managment if they are not addressed when designing or implementing a secure architecture.,NULL,NULL,NULL
CWE-1019,Validate Inputs,NULL,Draft,"Weaknesses in this category are related to the design and architecture of a system's input validation components. Frequently these deal with sanitizing, neutralizing and validating any externally provided inputs to minimize malformed data from entering the system and preventing code injection in the input data. The weaknesses in this category could lead to a degradation of the quality of data flow in a system if they are not addressed when designing or implementing a secure architecture.",NULL,NULL,NULL
CWE-102,Struts: Duplicate Validation Forms,Variant,Incomplete,"The application uses multiple validation forms with the same name, which might cause the Struts Validator to validate a form that the programmer does not expect.","If two validation forms have the same name, the Struts Validator arbitrarily chooses one of the forms to use for input validation and discards the other. This decision might not correspond to the programmer's expectations, possibly leading to resultant weaknesses. Moreover, it indicates that the validation logic is not up-to-date, and can indicate that other, more subtle validation errors are present.",NULL,NULL
CWE-1020,Verify Message Integrity,NULL,Draft,"Weaknesses in this category are related to the design and architecture of a system's data integrity components. Frequently these deal with ensuring integrity of data, such as messages, resource files, deployment files, and configuration files. The weaknesses in this category could lead to a degradation of data integrity quality if they are not addressed when designing or implementing a secure architecture.",NULL,NULL,NULL
CWE-1021,Improper Restriction of Rendered UI Layers or Frames,Base,Incomplete,"The web application does not restrict or incorrectly restricts frame objects or UI layers that belong to another application or domain, which can lead to user confusion about which interface the user is interacting with.","A web application is expected to place restrictions on whether it is allowed to be rendered within frames, iframes, objects, embed or applet elements. Without the restrictions, users can be tricked into interacting with the application when they were not intending to.",NULL,NULL
CWE-1022,Use of Web Link to Untrusted Target with window.opener Access,Variant,Incomplete,"The web application produces links to untrusted external sites outside of its sphere of control, but it does not properly prevent the external site from modifying  security-critical properties of the window.opener object, such as the location property.","When a user clicks a link to an external site (""target""), the target=""_blank"" attribute causes the target site's contents to be opened in a new window or tab, which runs in the same process as the original page. The window.opener object records information about the original page that offered the link.  If an attacker can run script on the target page, then they could read or modify certain properties of the window.opener object, including the location property - even if the original and target site are not the same origin.  An attacker can modify the location property to automatically redirect the user to a malicious site, e.g. as part of a phishing attack. Since this redirect happens in the original window/tab - which is not necessarily visible, since the browser is focusing the display on the new target page - the user might not notice any suspicious redirection.",NULL,NULL
CWE-1023,Incomplete Comparison with Missing Factors,Base,Incomplete,"The software performs a comparison between entities that must consider multiple factors or characteristics of each entity, but the comparison does not include one or more of these factors. This can lead to resultant weaknesses, e.g. by operating on the wrong object.",NULL,NULL,NULL
CWE-1024,Comparison of Incompatible Types,Base,Incomplete,"The software performs a comparison between two entities, but the entities are of different, incompatible types that cannot be guaranteed to provide correct results when they are directly compared.","In languages that are strictly typed but support casting/conversion, such as C or C++, the programmer might assume that casting one entity to the same type as another entity will ensure that the comparison will be performed correctly, but this cannot be guaranteed.  In languages that are not strictly typed, such as PHP or JavaScript, there may be implicit casting/conversion to a type that the programmer is unaware of, causing unexpected results; for example, the string ""123"" might be converted to a number type.  See examples.",NULL,NULL
CWE-1025,Comparison Using Wrong Factors,Base,Incomplete,"The software performs a comparison between two entities, but the comparison examines the wrong factors or characteristics of the entities, which can lead to incorrect results and resultant weaknesses.","A common example of this weakness occurs when the code inadvertently extracts the reference to an object, instead of its relevant contents.",NULL,NULL
CWE-1027,OWASP Top Ten 2017 Category A1 - Injection,NULL,Incomplete,Weaknesses in this category are related to the A1 category in the OWASP Top Ten 2017.,NULL,NULL,NULL
CWE-1028,OWASP Top Ten 2017 Category A2 - Broken Authentication,NULL,Incomplete,Weaknesses in this category are related to the A2 category in the OWASP Top Ten 2017.,NULL,NULL,NULL
CWE-1029,OWASP Top Ten 2017 Category A3 - Sensitive Data Exposure,NULL,Incomplete,Weaknesses in this category are related to the A3 category in the OWASP Top Ten 2017.,NULL,NULL,NULL
CWE-103,Struts: Incomplete validate() Method Definition,Variant,Draft,"The application has a validator form that either does not define a validate() method, or defines a validate() method but does not call super.validate().","If you do not call super.validate(), the Validation Framework cannot check the contents of the form against a validation form. In other words, the validation framework will be disabled for the given form.","The Struts Validator uses a form's validate() method to check the contents of the form properties against the constraints specified in the associated validation form. That means the following classes have a validate() method that is part of the validation framework: ValidatorForm, ValidatorActionForm, DynaValidatorForm, and DynaValidatorActionForm. If you create a class that extends one of these classes, and if your class implements custom validation logic by overriding the validate() method, you must call super.validate() in your validate() implementation.",NULL
CWE-1030,OWASP Top Ten 2017 Category A4 - XML External Entities (XXE),NULL,Incomplete,Weaknesses in this category are related to the A4 category in the OWASP Top Ten 2017.,NULL,NULL,NULL
CWE-1031,OWASP Top Ten 2017 Category A5 - Broken Access Control,NULL,Incomplete,Weaknesses in this category are related to the A5 category in the OWASP Top Ten 2017.,NULL,NULL,NULL
CWE-1032,OWASP Top Ten 2017 Category A6 - Security Misconfiguration,NULL,Incomplete,Weaknesses in this category are related to the A6 category in the OWASP Top Ten 2017.,NULL,NULL,NULL
CWE-1033,OWASP Top Ten 2017 Category A7 - Cross-Site Scripting (XSS),NULL,Incomplete,Weaknesses in this category are related to the A7 category in the OWASP Top Ten 2017.,NULL,NULL,NULL
CWE-1034,OWASP Top Ten 2017 Category A8 - Insecure Deserialization,NULL,Incomplete,Weaknesses in this category are related to the A8 category in the OWASP Top Ten 2017.,NULL,NULL,NULL
CWE-1035,OWASP Top Ten 2017 Category A9 - Using Components with Known Vulnerabilities,NULL,Incomplete,Weaknesses in this category are related to the A9 category in the OWASP Top Ten 2017.,NULL,NULL,NULL
CWE-1036,OWASP Top Ten 2017 Category A10 - Insufficient Logging & Monitoring,NULL,Incomplete,Weaknesses in this category are related to the A10 category in the OWASP Top Ten 2017.,NULL,NULL,NULL
CWE-1037,Processor Optimization Removal or Modification of Security-critical Code,Base,Incomplete,"The developer builds a security-critical protection mechanism into the software, but the processor optimizes the execution of the program such that the mechanism is removed or modified.",NULL,NULL,NULL
CWE-1038,Insecure Automated Optimizations,Class,Draft,"The product uses a mechanism that automatically optimizes code, e.g. to improve a characteristic such as performance, but the optimizations can have an unintended side effect that might violate an intended security assumption.",NULL,NULL,NULL
CWE-1039,Automated Recognition Mechanism with Inadequate Detection or Handling of Adversarial Input Perturbations,Class,Incomplete,"The product uses an automated mechanism such as machine learning to recognize complex data inputs (e.g. image or audio) as a particular concept or category, but it does not properly detect or handle inputs that have been modified or constructed in a way that causes the mechanism to detect a different, incorrect concept.","When techniques such as machine learning are used to automatically classify input streams, and those classifications are used for security-critical decisions, then any mistake in classification can introduce a vulnerability that allows attackers to cause the product to make the wrong security decision.  If the automated mechanism is not developed or ""trained"" with enough input data, then attackers may be able to craft malicious input that intentionally triggers the incorrect classification.
            Targeted technologies include, but are not necessarily limited to:
            
               automated speech recognition
               automated image recognition
            
            For example, an attacker might modify road signs or road surface markings to trick autonomous vehicles into misreading the sign/marking and performing a dangerous action.",NULL,NULL
CWE-104,Struts: Form Bean Does Not Extend Validation Class,Variant,Draft,"If a form bean does not extend an ActionForm subclass of the Validator framework, it can expose the application to other weaknesses related to insufficient input validation.",NULL,"In order to use the Struts Validator, a form must extend one of the following: ValidatorForm, ValidatorActionForm, DynaValidatorActionForm, and DynaValidatorForm. You must extend one of these classes because the Struts Validator ties in to your application by implementing the validate() method in these classes. Forms derived from the ActionForm and DynaActionForm classes cannot use the Struts Validator.",NULL
CWE-1041,Use of Redundant Code,Base,Incomplete,"The software has multiple functions, methods, procedures, macros, etc. that contain the same code.","This issue makes it more difficult to maintain the software, which indirectly affects security by making it more difficult or time-consuming to find and/or fix vulnerabilities.  For example, if there are two copies of the same code, the programmer might fix a weakness in one copy while forgetting to fix the same weakness in another copy.",NULL,NULL
CWE-1042,Static Member Data Element outside of a Singleton Class Element,Variant,Incomplete,"The code contains a member element that is declared as static (but not final), in which its parent class element  is not a singleton class - that is, a class element that can be used only once in the 'to' association of a Create action.","This issue can make the software perform more slowly.  If the relevant code is reachable by an attacker, then this performance problem might introduce a vulnerability.",NULL,NULL
CWE-1043,Data Element Aggregating an Excessively Large Number of Non-Primitive Elements,Base,Incomplete,The software uses a data element that has an excessively large number of sub-elements with non-primitive data types such as structures or aggregated objects.,"This issue can make the software perform more slowly.  If the relevant code is reachable by an attacker, then this performance problem might introduce a vulnerability.
		 While the interpretation of ""excessively large"" may vary for each product or developer, CISQ recommends a default of 5 sub-elements.",NULL,NULL
CWE-1044,Architecture with Number of Horizontal Layers Outside of Expected Range,Base,Incomplete,The software's architecture contains too many - or too few - horizontal layers.,"This issue makes it more difficult to maintain the software, which indirectly affects security by making it more difficult or time-consuming to find and/or fix vulnerabilities.  It also might make it easier to introduce vulnerabilities.
		 While the interpretation of ""expected range"" may vary for each product or developer, CISQ recommends a default minimum of 4 layers and maximum of 8 layers.",NULL,NULL
CWE-1045,Parent Class with a Virtual Destructor and a Child Class without a Virtual Destructor,Variant,Incomplete,"A parent class has a virtual destructor method, but the parent has a child class that does not have a virtual destructor.","This issue can prevent the software from running reliably, since the child might not perform essential destruction operations.  If the relevant code is reachable by an attacker, then this reliability problem might introduce a vulnerability, such as a memory leak (CWE-401).",NULL,NULL
CWE-1046,Creation of Immutable Text Using String Concatenation,Base,Incomplete,The software creates an immutable text string using string concatenation operations.,"This programming pattern can be inefficient in comparison with use of text buffer data elements.
This issue can make the software perform more slowly.  If the relevant code is reachable by an attacker, then this performance problem might introduce a vulnerability.",NULL,NULL
CWE-1047,Modules with Circular Dependencies,Base,Incomplete,"The software contains modules in which one module has references that cycle back to itself, i.e., there are circular dependencies.","As an example, with Java, this weakness might indicate cycles between packages.
This issue makes it more difficult to maintain the software due to insufficient modularity, which indirectly affects security by making it more difficult or time-consuming to find and/or fix vulnerabilities.  It also might make it easier to introduce vulnerabilities.
This issue can prevent the software from running reliably.  If the relevant code is reachable by an attacker, then this reliability problem might introduce a vulnerability.",NULL,NULL
CWE-1048,Invokable Control Element with Large Number of Outward Calls,Base,Incomplete,"The code contains callable control elements that         contain an excessively large number of references to other         application objects external to the context of the callable,         i.e. a Fan-Out value that is excessively large.","While the interpretation of ""excessively large Fan-Out value"" may vary for each product or developer, CISQ recommends a default of 5 referenced objects.
		 This issue makes it more difficult to maintain the software, which indirectly affects security by making it more difficult or time-consuming to find and/or fix vulnerabilities.  It also might make it easier to introduce vulnerabilities.",NULL,NULL
CWE-1049,Excessive Data Query Operations in a Large Data Table,Base,Incomplete,The software performs a data query with a large number of joins and sub-queries on a large data table.,"This issue can make the software perform more slowly.  If the relevant code is reachable by an attacker, then this performance problem might introduce a vulnerability.
	 While the interpretation of ""large data table"" and ""large number of joins or sub-queries"" may vary for each product or developer, CISQ recommends a default of 1 million rows for a ""large"" data table, a default minimum of 5 joins, and a default minimum of 3 sub-queries.",NULL,NULL
CWE-105,Struts: Form Field Without Validator,Variant,Draft,"The application has a form field that is not validated by a corresponding validation form, which can introduce other weaknesses related to insufficient input validation.","Omitting validation for even a single input field may give attackers the leeway they need to compromise the application. Although J2EE applications are not generally susceptible to memory corruption attacks, if a J2EE application interfaces with native code that does not perform array bounds checking, an attacker may be able to use an input validation mistake in the J2EE application to launch a buffer overflow attack.",NULL,NULL
CWE-1050,Excessive Platform Resource Consumption within a Loop,Base,Incomplete,"The software has a loop body or loop condition that contains a control element that directly or indirectly consumes platform resources, e.g. messaging, sessions, locks, or file descriptors.","This issue can make the software perform more slowly.  If an attacker can influence the number of iterations in the loop, then this performance problem might allow a denial of service by consuming more platform resources than intended.",NULL,NULL
CWE-1051,Initialization with Hard-Coded Network Resource Configuration Data,Base,Incomplete,The software initializes data using hard-coded values that act as	 as network resource identifiers.,"This issue can prevent the software from running reliably, e.g. if it runs in an environment does not use the hard-coded network resource identifiers. If the relevant code is reachable by an attacker, then this reliability problem might introduce a vulnerability.",NULL,NULL
CWE-1052,Excessive Use of Hard-Coded Literals in Initialization,Base,Incomplete,The software initializes a data element using a hard-coded literal that is not a simple integer or static constant element.,"This issue makes it more difficult to modify or maintain the software, which indirectly affects security by making it more difficult or time-consuming to find and/or fix vulnerabilities.  It also might make it easier to introduce vulnerabilities.",NULL,NULL
CWE-1053,Missing Documentation for Design,Base,Incomplete,The product does not have documentation that represents how it is designed.,This issue can make it more difficult to understand and maintain the code.  It can make it more difficult and time-consuming to detect and/or fix vulnerabilities.,NULL,NULL
CWE-1054,Invocation of a Control Element at an Unnecessarily Deep Horizontal Layer,Base,Incomplete,"The code at one architectural layer invokes code that resides at a deeper layer than the adjacent layer, i.e., the invocation skips at least one layer, and the invoked code is not part of a vertical utility layer that can be referenced from any horizontal layer.","This issue makes it more difficult to understand and maintain the software, which indirectly affects security by making it more difficult or time-consuming to find and/or fix vulnerabilities.  It also might make it easier to introduce vulnerabilities.",NULL,NULL
CWE-1055,Multiple Inheritance from Concrete Classes,Base,Incomplete,The software contains a class with inheritance from more than one concrete class.,"This issue makes it more difficult to maintain the software, which indirectly affects security by making it more difficult or time-consuming to find and/or fix vulnerabilities.  It also might make it easier to introduce vulnerabilities.",NULL,NULL
CWE-1056,Invokable Control Element with Variadic Parameters,Base,Incomplete,A named-callable or method control element has a signature that supports a variable (variadic) number of parameters or arguments.,"This issue can prevent the software from running reliably.  If the relevant code is reachable by an attacker, then this reliability problem might introduce a vulnerability.
		 With variadic arguments, it can be difficult or inefficient for manual analysis to be certain of which function/method is being invoked.",NULL,NULL
CWE-1057,Data Access Operations Outside of Expected Data Manager Component,Base,Incomplete,"The software uses a dedicated, central data manager component as required by design, but it contains code that performs data-access operations that do not use this data manager.","This issue can make the software perform more slowly than intended, since the intended central data manager may have been explicitly optimized for performance or other quality characteristics.  If the relevant code is reachable by an attacker, then this performance problem might introduce a vulnerability.",NULL,NULL
CWE-1058,Invokable Control Element in Multi-Thread Context with non-Final Static Storable or Member Element,Base,Incomplete,The code contains a function or method that		 operates in a multi-threaded environment but owns an unsafe non-final		                     static storable or member data element.,"This issue can prevent the software from running reliably.  If the relevant code is reachable by an attacker, then this reliability problem might introduce a vulnerability.",NULL,NULL
CWE-1059,Incomplete Documentation,Class,Incomplete,"The documentation, whether on paper or in electronic form, does not contain descriptions of all the relevant elements of the product, such as its usage, structure, interfaces, design, implementation, configuration, operation, etc.","This issue makes it more difficult to maintain the software, which indirectly affects security by making it more difficult or time-consuming to find and/or fix vulnerabilities.  It also might make it easier to introduce vulnerabilities.",NULL,NULL
CWE-106,Struts: Plug-in Framework not in Use,Variant,Draft,"When an application does not use an input validation framework such as the Struts Validator, there is a greater risk of introducing weaknesses related to insufficient input validation.","Unchecked input is the leading cause of vulnerabilities in J2EE applications. Unchecked input leads to cross-site scripting, process control, and SQL injection vulnerabilities, among others.
            Although J2EE applications are not generally susceptible to memory corruption attacks, if a J2EE application interfaces with native code that does not perform array bounds checking, an attacker may be able to use an input validation mistake in the J2EE application to launch a buffer overflow attack.",NULL,NULL
CWE-1060,Excessive Number of Inefficient Server-Side Data Accesses,Base,Incomplete,The software performs too many data queries without using efficient data processing functionality such as stored procedures.,"This issue can make the software perform more slowly due to computational expense.  If the relevant code is reachable by an attacker, then this performance problem might introduce a vulnerability.
	 While the interpetation of ""too many data queries"" may vary for each product or developer, CISQ recommends a default maximum of 5 data queries for an inefficient function/procedure.",NULL,NULL
CWE-1061,Insufficient Encapsulation,Class,Incomplete,"The software does not sufficiently hide the internal representation and implementation details of data or methods, which might allow external components or modules to modify data unexpectedly, invoke unexpected functionality, or introduce dependencies that the programmer did not intend.","This issue makes it more difficult to maintain the software, which indirectly affects security by making it more difficult or time-consuming to find and/or fix vulnerabilities.  It also might make it easier to introduce vulnerabilities.",NULL,NULL
CWE-1062,Parent Class with References to Child Class,Base,Incomplete,"The code has a parent class that contains references to a child class, its methods, or its members.","This issue can prevent the software from running reliably.  If the relevant code is reachable by an attacker, then this reliability problem might introduce a vulnerability.",NULL,NULL
CWE-1063,Creation of Class Instance within a Static Code Block,Base,Incomplete,A static code block creates an instance of a class.,"This pattern identifies situations where a storable data element or member data element is initialized with a value in a block of code which is declared as static.
This issue can make the software perform more slowly by performing initialization before it is needed.  If the relevant code is reachable by an attacker, then this performance problem might introduce a vulnerability.",NULL,NULL
CWE-1064,Invokable Control Element with Signature Containing an Excessive Number of Parameters,Base,Incomplete,"The software contains a function, subroutine, or method whose signature has an unnecessarily large number of parameters/arguments.","This issue makes it more difficult to understand and/or maintain the software, which indirectly affects security by making it more difficult or time-consuming to find and/or fix vulnerabilities.  It also might make it easier to introduce vulnerabilities.
	 While the interpetation of ""large number of parameters."" may vary for each product or developer, CISQ recommends a default maximum of 7 parameters/arguments.",NULL,NULL
CWE-1065,Runtime Resource Management Control Element in a Component Built to Run on Application Servers,Base,Incomplete,"The application uses deployed components from application servers, but it also uses low-level functions/methods for management of resources, instead of the API provided by the application server.","This issue can prevent the software from running reliably.  If the relevant code is reachable by an attacker, then this reliability problem might introduce a vulnerability.",NULL,NULL
CWE-1066,Missing Serialization Control Element,Base,Incomplete,The software contains a serializable data element that does not have an associated serialization method.,"This issue can prevent the software from running reliably, e.g. by triggering an exeption.  If the relevant code is reachable by an attacker, then this reliability problem might introduce a vulnerability.
	 As examples, the serializable nature of a data element comes from a serializable SerializableAttribute attribute in .NET and the inheritance from the java.io.Serializable interface in Java.",NULL,NULL
CWE-1067,Excessive Execution of Sequential Searches of Data Resource,Base,Incomplete,The software contains a data query against an SQL table or view that is configured in a way that does not utilize an index and may cause sequential searches to be performed.,"This issue can make the software perform more slowly.  If the relevant code is reachable by an attacker, then this performance problem might introduce a vulnerability.",NULL,NULL
CWE-1068,Inconsistency Between Implementation and Documented Design,Base,Incomplete,The implementation of the product is not consistent with the design as described within the relevant documentation.,"This issue makes it more difficult to maintain the software due to inconsistencies, which indirectly affects security by making it more difficult or time-consuming to find and/or fix vulnerabilities.  It also might make it easier to introduce vulnerabilities.",NULL,NULL
CWE-1069,Empty Exception Block,Variant,Incomplete,"An invokable code block contains an exception handling block that does not contain any code, i.e. is empty.","When an exception handling block (such as a Catch and Finally block) is used, but that block is empty, this can prevent the software from running reliably.  If the relevant code is reachable by an attacker, then this reliability problem might introduce a vulnerability.",NULL,NULL
CWE-107,Struts: Unused Validation Form,Variant,Draft,An unused validation form indicates that validation logic is not up-to-date.,It is easy for developers to forget to update validation logic when they remove or rename action form mappings. One indication that validation logic is not being properly maintained is the presence of an unused validation form.,NULL,NULL
CWE-1070,Serializable Data Element Containing non-Serializable Item Elements,Base,Incomplete,"The software contains a serializable, storable data element such as a field or member, but the data element contains member elements that are not serializable.","This issue can prevent the software from running reliably.  If the relevant code is reachable by an attacker, then this reliability problem might introduce a vulnerability.
 	 As examples, the serializable nature of a data element comes from a serializable SerializableAttribute attribute in .NET and the inheritance from the java.io.Serializable interface in Java.",NULL,NULL
CWE-1071,Empty Code Block,Variant,Incomplete,"The source code contains a block that does not contain any code, i.e., the block is empty.","Empty code blocks can occur in the bodies of conditionals, function or method definitions, exception handlers, etc.  While an empty code block might be intentional, it might also indicate incomplete implementation, accidental code deletion, unexpected macro expansion, etc.  For some programming languages and constructs, an empty block might be allowed by the syntax, but the lack of any behavior within the block might violate a convention or API in such a way that it is an error.",NULL,NULL
CWE-1072,Data Resource Access without Use of Connection Pooling,Base,Incomplete,The software accesses a data resource through a database without using a connection pooling capability.,"This issue can make the software perform more slowly, as connection pools allow connections to be reused without the overhead and time consumption of opening and closing a new connection.  If the relevant code is reachable by an attacker, then this performance problem might introduce a vulnerability.",NULL,NULL
CWE-1073,Non-SQL Invokable Control Element with Excessive Number of Data Resource Accesses,Base,Incomplete,"The software contains a client with a function or method that contains a large number of data accesses/queries that are sent through a data manager, i.e., does not use efficient database capabilities.","This issue can make the software perform more slowly.  If the relevant code is reachable by an attacker, then this performance problem might introduce a vulnerability.
	 While the interpetation of ""large number of data accesses/queries"" may vary for each product or developer, CISQ recommends a default maximum of 2 data accesses per function/method.",NULL,NULL
CWE-1074,Class with Excessively Deep Inheritance,Base,Incomplete,"A class has an inheritance level that is too high, i.e., it has a large number of parent classes.","This issue makes it more difficult to understand and maintain the software, which indirectly affects security by making it more difficult or time-consuming to find and/or fix vulnerabilities.  It also might make it easier to introduce vulnerabilities.
	 While the interpetation of ""large number of parent classes"" may vary for each product or developer, CISQ recommends a default maximum of 7 parent classes.",NULL,NULL
CWE-1075,Unconditional Control Flow Transfer outside of Switch Block,Base,Incomplete,"The software performs unconditional control transfer (such as a ""goto"") in code outside of a branching structure such as a switch block.","This issue makes it more difficult to maintain the software, which indirectly affects security by making it more difficult or time-consuming to find and/or fix vulnerabilities.  It also might make it easier to introduce vulnerabilities.",NULL,NULL
CWE-1076,Insufficient Adherence to Expected Conventions,Class,Incomplete,"The product's architecture, source code, design, documentation, or other artifact does not follow required conventions.","This issue makes it more difficult to maintain the software, which indirectly affects security by making it more difficult or time-consuming to find and/or fix vulnerabilities.  It also might make it easier to introduce vulnerabilities.",NULL,NULL
