icsa_id,icsa_url,icsa_release,icsa_update,icsa_description,icsa_is_update,icsa_vendor,icsa_oneliner
ICSA-10-272-01,https://www.us-cert.gov/ics/advisories/ICSA-10-272-01,2010-09-29,2018-09-06,Primary Stuxnet Advisory,1,Other," ICS-CERT has been actively investigating and reporting on the Stuxnet vulnerability. To date, ICS-CERT has released ICSA-10-201-01 - Malware Targeting Siemens Control Software (including Updates B &amp; C) and ICSA-10-238-01 - Stuxnet Mitigations (including Update B). Stuxnet uses four zero-day exploits (two of which have been patched) and takes advantage of a vulnerability also exploited by Conficker, which has been documented in Microsoft Security Bulletin MS-08-067.a The known methods of propagation include infected USB devices, network shares, STEP 7 Project files, WinCC database files, and the print spooler vulnerability addressed by MS-10-061.b The malware can be updated through a command and control infrastructure as well as peer-to-peer communication using the Remote Procedure Call (RPC) protocol. The malware also interacts with Siemens SIMATIC WinCC or SIMATIC STEP 7 software. Exact software versions and configurations that may be affected are still being analyzed jointly by ICS-CERT and Siemens. We have listed the following indicators for use in detecting this malware."
ICSA-10-301-01A,https://www.us-cert.gov/ics/advisories/ICSA-10-301-01A,2010-11-10,2018-08-23,MOXA Device Manager Buffer Overflow (Update A),1,Moxa,
ICSA-10-313-01,https://www.us-cert.gov/ics/advisories/ICSA-10-313-01,2010-11-08,2018-09-06,RealFlex RealWin Buffer Overflow,1,RealFlex Technologies," This advisory is a follow-up to ICS-ALERT-10-305-01 RealFlex RealWin Buffer Overflows, which was published on the ICS-CERT Web site on November 01, 2010. On October 15, 2010 an independent security researcher posted informationa  regarding vulnerabilities in RealFlex Technologies Ltd. RealWin SCADA software products. The security researcher’s analysis indicated that successful exploitation of these vulnerabilities can lead to arbitrary code execution and control of the system. RealFlex Technologies has validated the researcher’s findings and released an updateb to resolve these issues. ICS-CERT has verified that the software update resolves the vulnerabilities highlighted by the researcher."
ICSA-10-314-01A,https://www.us-cert.gov/ics/advisories/ICSA-10-314-01A,2011-02-15,2018-08-23,ClearScada Vulnerabilities (Update A),1,Schneider Electric," Researchers at Digital Bond have identified multiple vulnerabilities in the Control Microsystems ClearSCADA application. The following vulnerabilities have been identified: Heap Overflow VulnerabilityCross-site Scripting VulnerabilitiesInsecure Web Authentication."
ICSA-10-316-01A,https://www.us-cert.gov/ics/advisories/ICSA-10-316-01A,2010-12-15,2018-09-06,Intellicom NetBiter WebSCADA Vulnerabilities (Update A),1,Intellicom," This advisory is a follow-up to ICS-ALERT-10-293-01 - Intellicom NetBiter WebSCADA Vulnerabilities, published on the ICS-CERT Web page on October 20, 2010. On October 1, 2010 independent researchers identified vulnerabilities in the Intellicom NetBiter Supervisory Control and Data Acquisition (SCADA) applications. A directory traversal vulnerability is present in all affected devices that lead to local file disclosure. The ability to upload malicious web content using a custom logo page is also possible. All of the reported vulnerabilities require superadmin privileges. If the default password is not changed, the vulnerability can be leveraged to gain additional access to an affected device’s file system."
ICSA-10-322-01,https://www.us-cert.gov/ics/advisories/ICSA-10-322-01,2010-12-14,2013-04-29,Ecava IntegraXor Buffer Overflow,1,Ecava," The ICS-CERT has received a report from independent security researcher Jeremy Brown that reveals a stack-based buffer overflow vulnerability in the Ecava IntegraXor Human-Machine Interface (HMI) product that could allow the execution of arbitrary code. Ecava has verified the claim and has released a patch to mitigate the vulnerability (igsetup-3.5.3900.10.msi or later)."
ICSA-10-322-02A,https://www.us-cert.gov/ics/advisories/ICSA-10-322-02A,2010-11-17,2013-08-28,Automated Solutions OPC Vulnerability (Update),1,Automated Solutions," The ICS-CERT has received a report from independent security researcher Jeremy Brown that reveals a heap corruption vulnerability in the Automated Solutions Modbus/TCP Master OPC server. Automated Solutions has confirmed that their most recent patch mitigates the vulnerability for Version 3.0.0. ICS-CERT has verified that the software update resolves the vulnerability identified by the researcher. --------- Begin Update A-------- The vulnerability could be exploited by creating a Modbus/TCP Slave application that generates non-compliant Modbus/TCP reply packets. Successful exploitation would likely not allow arbitrary code execution; however, an exploit could possibly corrupt the OPC server memory. --------- End Update A--------"
ICSA-10-337-01,https://www.us-cert.gov/ics/advisories/ICSA-10-337-01,2011-01-02,2013-10-28,Advantech Studio Test Web Server Buffer Overflow,1,Advantech," The ICS-CERT has received a report from independent security researcher Jeremy Brown that reveals a stack-based buffer overflow vulnerability in the test web server bundled with Advantech Studio Version 6.1. This web server is intended to be used for testing purposes and should not be used in a production environment. Advantech has verified the problem and has developed a patch to mitigate the vulnerability."
ICSA-10-348-01A,https://www.us-cert.gov/ics/advisories/ICSA-10-348-01A,2011-03-02,2013-04-22,Wonderware InBatch Vulnerability (Update A),1,Invensys," An independent security researcher has published information to a vulnerability disclosure website regarding a buffer overflow vulnerability in the Wonderware InBatch and I/A Series Batch software products (all supported versions). According to the researcher’s report, the service listening on TCP Port 9001 is vulnerable to a buffer overflow that could cause denial of service (DOS) or the possible execution of arbitrary code. This vulnerability is remotely exploitable and exploit code is publicly available. --------- Begin Update A Part 1 of 2 ---------- Invensys has validated the researcher’s claim and has released a patch for this vulnerability. The patchcan be downloaded at Invensys Cyber Security Updates page.a ICS-CERT has validated the patch. ---------- End Update A Part 1 of 2 ---------- ICS-CERT is coordinating this vulnerability disclosure with Invensys and the CERT Coordination Center (CERT/CC)."
ICSA-10-362-01,https://www.us-cert.gov/ics/advisories/ICSA-10-362-01,2010-12-28,2018-09-06,Ecava IntegraXor Directory Traversal,1,Ecava," This advisory is a follow-up to ICS-ALERT-10-355-01 - Ecava IntegraXor Directory Traversal, published on the ICS-CERT Web page on December 21, 2010. ICS-CERT has become aware of a directory traversal vulnerability in the Ecava IntegraXor Human-Machine Interface (HMI) product that could allow data leakage. ICS-CERT is currently in contact with representatives of Ecava who have verified the vulnerability. Ecava has developed and released a patch to mitigate the vulnerability (igsetup-3.6.4000.1.msi or later) and has notified its customer base of the availability of the patch (http://www.integraxor.com/download/igsetup.msi). This patch has been verified by both the ICS-CERT and the independent security researcher."
ICSA-11-017-01,https://www.us-cert.gov/ics/advisories/ICSA-11-017-01,2011-01-17,2018-09-06,WellinTech Kingview 6.53 Remote Heap Overflow,1,WellinTech," This advisory is a follow-up to ICS-ALERT-11-011-01 WellinTech Kingview Buffer Overflow, published on the ICS-CERT Web site on January 11, 2011. Independent security researcher Dillon Beresford reported a heap overflow vulnerability in WellinTech KingView V6.53, which may allow a remote, unauthenticated attacker to execute arbitrary code. ICS-CERT has verified the vulnerability. WellinTech has developed and released a patch to mitigate this vulnerability, 6.53(2010-12-15). This patch has been validated by both ICS-CERT and the independent security researcher."
ICSA-11-017-02,https://www.us-cert.gov/ics/advisories/ICSA-11-017-02,2011-01-17,2018-09-06,Sielco Sistemi WinLog Stack Overflow,1,Sielco Sistemi," Independent researcher Luigi Auriemma reported a stack overflow vulnerability in Version 2.07.00 of the Sielco Sistemi WinLog Lite and Winlog Pro HMI software. Sielco Sistemi has developed an update (Version 2.07.01) to address this vulnerability. The researcher has verified that the update is effective in correcting this vulnerability."
ICSA-11-018-01,https://www.us-cert.gov/ics/advisories/ICSA-11-018-01,2011-01-18,2018-09-05,AGG SCADA Viewer OPC Buffer Overflow Vulnerability,1,AGG Software," The ICS-CERT has received a report from independent security researcher Steven James that a stack-based buffer overflow exists in the AGG Software OPC SCADA Viewer software. The vulnerability could allow arbitrary code execution. ICS-CERT has coordinated with AGG Software, which has developed a patch to address this vulnerability. The researcher has also verified that the patch resolves the issue."
ICSA-11-018-02,https://www.us-cert.gov/ics/advisories/ICSA-11-018-02,2011-02-08,2018-09-05,7-Technologies IGSS 8 ODBC Server Remote Heap Corruption,1,7-Technologies," ICS-CERT has received a report from independent security researcher Jeremy Brown that a remote heap corruption vulnerability exists in IGSS (Interactive Graphical SCADA System) Version 8 from 7-Technologies (7T). 7T has verified the vulnerability and has developed a patch."
ICSA-11-025-01,https://www.us-cert.gov/ics/advisories/ICSA-11-025-01,2011-01-25,2018-08-23,Federal Aviation Administration GPS Testing,1,Other," The US Federal Aviation Administration (FAA) has issued two flight advisories identifying planned Global Positioning System (GPS) temporary outages and the affected areas, due Department of Defense testing. During testing, the GPS signal may be unreliable or unavailable. ICS-CERT is issuing this advisory as a follow up to yesterday’s alert to notify industrial control systems (ICS) owners and operators whose control systems employ GPS for timing reference or positioning data of possible intermittent GPS service during the testing."
ICSA-11-041-01A,https://www.us-cert.gov/ics/advisories/ICSA-11-041-01A,2011-02-11,2018-09-06,McAfee Night Dragon Report (Update A),1,Other," McAfee has published a white paper titled “Global Energy Cyberattacks: Night Dragon,”a  which describes advanced persistent threat activity designed to obtain sensitive data from targeted organizations in the global oil, energy, and petrochemical industries. According to the report, this activity began in 2009 or potentially as early as 2007."
ICSA-11-056-01A,https://www.us-cert.gov/ics/advisories/ICSA-11-056-01A,2011-06-14,2018-09-05,Progea Movicon TCPUploadServer (Update A),1,Progea," ICS-CERT has received a report from independent security researcher Jeremy Brown of a data leakage and denial-of-service vulnerability in Progea’s Movicon 11 human machine interface (HMI) product. Progea has verified the vulnerability and has developed a patch to address the issue. ICS-CERT has verified that the patch resolves the vulnerability."
ICSA-11-069-01B,https://www.us-cert.gov/ics/advisories/ICSA-11-069-01B,2011-06-07,2018-09-05,Samsung Data Management Server (Update B),1,Samsung," This updated website posting provides new information regarding Samsung’s process for acquiring the updated software to mitigate the reported vulnerability. José A. Guasch,a reported a SQL injection vulnerability in the Samsung Data Management Server (DMS). Samsung has released an update and ICS-CERT has verified that the software update corrects the vulnerability."
ICSA-11-074-01,https://www.us-cert.gov/ics/advisories/ICSA-11-074-01,2011-03-15,2018-09-06,WellinTech KingView 6.53 KVWebSvr ActiveX,1,WellinTech," This advisory is a follow-up to ICS-ALERT-11-066-01 - WellinTech KingView 6.53 ActiveX Vulnerability, published on the ICS-CERT Web page on March 7, 2011. An independent security researcher reported a stack-based buffer overflow vulnerability in an ActiveX control in WellinTech KingView V6.53. The researcher has publicly released exploit code for this vulnerability. Successful exploitation of this vulnerability could allow a remote attacker to execute arbitrary code. WellinTech has released an update for the vulnerable file. ICS-CERT has confirmed the update resolves the vulnerability."
ICSA-11-082-01,https://www.us-cert.gov/ics/advisories/ICSA-11-082-01,2011-03-23,2013-04-30,Ecava IntegraXor SQL,1,Ecava," ICS-CERT has received a report from independent security researcher Dan Rosenberg with Virtual Security Research (VSR) of an unauthenticated Structured Query Language (SQL) vulnerability in the Ecava IntegraXor human machine interface (HMI) product that could allow data leakage, data manipulation, and remote code execution against the backend host running the database service. ICS-CERT has coordinated with Ecava, which has verified the vulnerability and developed a patched release of IntegraXor (Build 4050) to address this vulnerability. Both ICS-CERT and the independent security researcher have validated the patch."
ICSA-11-084-01,https://www.us-cert.gov/ics/advisories/ICSA-11-084-01,2011-03-26,2014-01-02,Solar Magnetic Storm Impact on Control Systems,0,Other," The sun generates solar flare and coronal mass ejection (CME) events in an approximate 11-year cycle. The plasma clouds generated from these events have the potential to cause geomagnetic storms that can interfere with terrestrial communications and other electronic systems, posing a risk to critical infrastructure.In a recent case, Earth-orbiting satellites detected the strongest magnetic storm in more than 4 years resulting from a solar flare and CME event.a Figure 1 illustrates the size of the CME shockwave edge in relation to the size of the sun at the point of the eruption.      Figure 1. X2-solar flare and coronal mass ejection at the time of the eruption.  At 0156 UT on February 15, 2011, Active Region 11158 unleashed an X2-class eruption.b X-flares are the largest type of X-ray flares, and this is the first such eruption of new Solar Cycle 24. The explosion that produced this flare also sent a solar tsunami rippling through the sun’s atmosphere and hurled a CME toward Earth. By the time the CME reached the Earth, the shockwave leading edge had expanded to approximately 40 million miles across. CME activity will continue to occur as this solar cycle progresses. The purpose of this Advisory is to inform the industrial control systems (ICS) community of the possible impacts of solar magnetic storms on critical infrastructure control systems. This Advisory provides a high-level overview of the potential problems and offers some general mitigation strategies for consideration by the ICS community."
ICSA-11-091-01A,https://www.us-cert.gov/ics/advisories/ICSA-11-091-01A,2011-04-05,2018-09-06,Siemens Tecnomatix FactoryLink Vulnerabilities (Update A),1,Siemens," This ICS-CERT Advisory is a follow-up to ICS-ALERT-11-080-01. An independent researcher has identified six vulnerabilities in the Siemens Tecnomatix FactoryLink supervisory control and data acquisition (SCADA) product. The researcher has also publicly released exploit code. The researcher identified the following vulnerabilities types: Buffer overflow (2 vul)Absolute Path Traversal (3 vul)NULL Pointer Dereference (1 vul). Siemens has released a patch addressing the identified vulnerablities. ICS-CERT has not yet validated this patch."
ICSA-11-094-01,https://www.us-cert.gov/ics/advisories/ICSA-11-094-01,2011-04-13,2018-09-06,Wonderware InBatch Client ActiveX Buffer Overflow,1,Invensys," ICS-CERT has received a report from independent security researcher Jeremy Brown regarding a buffer overflow vulnerability in a Wonderware InBatch Client ActiveX control. According to the researcher’s report, the client ActiveX control is vulnerable to a buffer overflow that could cause denial of service (DoS) or the possible execution of arbitrary code in older versions. In order to successfully exploit this vulnerability, the attacker must direct the InBatch client user to a malicious host. This exploit requires the attacker to perform social engineering. Invensys has validated the researcher’s claim and has developed a patch to mitigate this vulnerability. ICS-CERT has verified that the provided security patch resolves the vulnerability."
ICSA-11-094-02B,https://www.us-cert.gov/ics/advisories/ICSA-11-094-02B,2014-01-07,2018-09-06,Advantech/Broadwin WebAccess RPC Vulnerability (Update B),1,Advantech," This updated advisory is a follow-up to the updated advisory titled ICSA-11-094-02A Advantech/Broadwin WebAccess RPC Vulnerability that was published November 4, 2011, on the NCCIC/ICS-CERT Web site."
ICSA-11-096-01,https://www.us-cert.gov/ics/advisories/ICSA-11-096-01,2011-04-06,2018-09-06,GLEG Agora SCADA+ Exploit Pack,1,Other," On March 15, 2011, GLEG Ltd. announced the Agora SCADA+ Exploit Pack for Immunity’s CANVAS system. CANVAS is a penetration testing framework that is extensible using CANVAS Exploit Packs. On March 25, 2011, GLEG announced it would be adding exploits for the 35 vulnerabilities released by Luigi Auriemma on March 21, 2011. The ICS-CERT has not received any reports of this tool being used for an unauthorized compromise of an actual control system installation. ICS-CERT has prepared this advisory to provide an initial summary of the possible vulnerabilities contained in this exploit pack. Please note that at this time, the information contained in this report is not conclusive, nor is it comprehensive. This report represents a cursory and credible snapshot of the vulnerabilities that are likely contained in the pack, based on the analysis conducted by ICS-CERT."
ICSA-11-103-01A,https://www.us-cert.gov/ics/advisories/ICSA-11-103-01A,2011-08-15,2014-03-13,Honeywell ScanServer ActiveX Control (Update A),1,Honeywell,
ICSA-11-108-01,https://www.us-cert.gov/ics/advisories/ICSA-11-108-01,2011-04-18,2018-09-06,ICONICS GENESIS (32 &amp; 64) Vulnerabilities,1,ICONICS," This advisory is a follow-up to ICS-ALERT-11-080-02 ICONICS GENESIS (32 &amp; 64) Vulnerabilities, published on the ICS-CERT Web site on March 20, 2011. An independent security researcher has published 13 vulnerabilities with proof of concept (PoC) code for the ICONICS GENESIS32 and GENESIS64 human-machine interface (HMI)/supervisory control and data acquisition (SCADA) products. The 13 remotely exploitable vulnerabilities exploit the GenBroker.exe service on Port 38080/TCP. The researcher states that the vulnerabilities fall within two classifications: twelve involve integer overflows;a one involves memory corruption.b After the aforementioned vulnerabilities were disclosed, a second, security researcher, Joel Langill of SCADAhacker,c is coordinating with the ICS-CERT on another vulnerability in the ICONICS GENESIS products. Mr. Langill reported a vulnerability in the SafeNet Sentinel License Monitor httpd 7.3 service on Port 6002/TCP, which is used by the ICONICS GENESIS32 and GENESIS64 application suites. That vulnerability is based on a previously reported vulnerability in the SafeNet Sentinel License Monitor service.d An attacker could exploit this vulnerability to allow directory traversal on the host machine. ICONICS has validated the reported vulnerabilities and released a software update that addresses all identified vulnerabilities. ICS-CERT has verified that the update released by ICONICS fully addresses all reported vulnerabilities."
ICSA-11-110-01,https://www.us-cert.gov/ics/advisories/ICSA-11-110-01,2011-04-20,2018-09-06,RealFlex RealWin Vulnerabilities,1,RealFlex Technologies," This ICS-CERT Advisory is a follow-up to the ICS-CERT Alert titled, “ICS-ALERT-11-080-04—Multiple Vulnerabilities in RealFlex RealWin.” An independent researcher has published exploit code for seven vulnerabilities identified in RealFlex Technologies’ RealWin 2.1.10 Demo Supervisory Control and Data Acquisition (SCADA) product. Multiple functions listening on Port 910/TCP are susceptible to heap and stacked-based buffer overflow vulnerabilities. The heap and stack buffer overflows may allow an attacker to remotely execute arbitrary code. RealFlex has released a new version (Version 2.1.12) of their free demo software that mitigates these vulnerabilities. ICS-CERT has verified that these vulnerabilities do not affect the RealFlex RealWin commercial version and that Version 2.1.12 resolves the vulnerabilities in the demo version."
ICSA-11-119-01,https://www.us-cert.gov/ics/advisories/ICSA-11-119-01,2011-04-29,2018-09-05,7-Technologies IGSS ODBC Remote Stack Overflow,1,7-Technologies," Security researcher James Burton of Insomnia Security has released details of a remote stack overflow vulnerability affecting 7-Technologies (7T) Interactive Graphical SCADA System (IGSS). This vulnerability exists in the IGSS Open Database Connectivity (ODBC) service running on Port 22202/TCP by default. ICS-CERT has confirmed that Insomnia Security and 7T coordinated this vulnerability prior to public release of this report. 7T has issued an update addressing this vulnerability. ICS-CERT has received confirmation that Insomnia Security has validated the effectiveness of 7T’s update in resolving the reported vulnerability."
ICSA-11-122-01,https://www.us-cert.gov/ics/advisories/ICSA-11-122-01,2011-06-24,2018-09-06,AzeoTech DAQFactory Networking Vulnerabilities,1,AzeoTech," ICS-CERT Advisory ICSA-11-122-01 was originally released to the US-CERT Portal on May 24, 2011. This web site release was delayed to allow users sufficient time to download and install the upgrade. ICS-CERT received a report from the nSense Vulnerability Coordination Team concerning several vulnerabilities in AzeoTech DAQFactory. ICS-CERT has worked with nSense and AzeoTech to validate the vulnerabilities and create a mitigation strategy, included below. Azeotech has created a new version (Version 5.85, Build 1842) to resolve these vulnerabilities. Users who do not require the networking capability can easily adjust the system settings in their existing versions to disable the vulnerable feature. The default settings for future releases (Versions 5.85 and newer) will be changed to mitigate the vulnerability. ICS-CERT has confirmed that both Version 5.85 and disabling the vulnerable feature in older versions successfully mitigates this vulnerability."
ICSA-11-126-01,https://www.us-cert.gov/ics/advisories/ICSA-11-126-01,2011-05-06,2018-09-06,7-Technologies IGSS Vulnerabilities,1,7-Technologies," This advisory is a follow-up to ICS-ALERT-11-080-03 7-Technologies IGSS Vulnerabilities, published on the ICS-CERT Web site on March 20, 2011. An independent researcher has identified eight vulnerabilities in 7-Technologies (7T) IGSS SCADA human-machine interface (HMI) application. Each of the identified vulnerabilities includes proof-ofconcept (PoC) exploit code. The researcher identified the following vulnerability types: Stack-based buffer overflowsPath traversalString formattingLocal arbitrary code execution (dc.exe). Seven of these vulnerabilities occur in IGSSdataServer service on Port 12401/TCP. The eighth vulnerability is identified in the Data Collection application (dc.exe) on Port 12397/TCP. Both vulnerable services run as part of the IGSS application suite. The IGSS Data Server is responsible for data transmission between the IGSS server and the operator stations. All vulnerabilities are remotely exploitable and can allow denial of service, path traversal, and arbitrary code execution. After these original eight vulnerabilities were identified, Joel Langill of SCADAhackera discovered and coordinated with ICS-CERT a ninth vulnerability. This new vulnerability is directly leveraged off one of the original vulnerabilities, specifically local arbitrary code execution affecting the Data Collection application (dc.exe) on Port 12397/TCP. An attacker could exploit this additional vulnerability to conduct simultaneous directory traversal and arbitrary programs execution on the host machine. 7T has developed a patch that resolves the reported vulnerabilities. ICS-CERT has validated the patch."
ICSA-11-131-01,https://www.us-cert.gov/ics/advisories/ICSA-11-131-01,2011-05-11,2013-08-28,ICONICS GENESIS32 and BizViz ActiveX Stack Overflow,1,ICONICS," Security researchers Scott Bell and Blair Strang of Security-Assessment.com have released a report detailing a stack overflow vulnerability affecting ICONICS GENESIS32 and BizViz products. The vulnerable ActiveX control, GenVersion.dll, is a component of WebHMI, which is incorporated in both GENESIS32 and BizViz products. Successful exploitation of this vulnerability allows remote arbitrary code execution. ICS-CERT has confirmed that ICONICS has issued a patch that addresses this vulnerability. ICONICS confirmed that Security-Assessment.com has validated that this patch fully resolves this vulnerability."
ICSA-11-132-01A,https://www.us-cert.gov/ics/advisories/ICSA-11-132-01A,2011-06-06,2018-08-23,7-Technologies IGSS Denial of Service (Update A),1,7-Technologies," ICS-CERT has become aware of multiple denial-of-service (DoS) vulnerabilities in the 7-Technologies  (7T) Interactive Graphical SCADA System (IGSS) supervisory control and data acquisition (SCADA) human-machine interface (HMI) application. All vulnerabilities are remotely exploitable. 7T has developed patches that resolve the reported vulnerabilities in the affected versions."
ICSA-11-147-01B,https://www.us-cert.gov/ics/advisories/ICSA-11-147-01B,2011-06-02,2013-08-28,Ecava IntegraXor DLL Hijacking (Update B),1,Ecava," This advisory is a follow-up to ICS-ALERT-10-362-01—Ecava IntegraXor DLL Hijacking. ICS-CERT has become aware of a Uncontrolled Search Path Element vulnerability, commonly referred to as DLL Hijacking, in the Ecava IntegraXor supervisory control and data acquisition (SCADA) product. ICS-CERT has worked with Ecava to validate the vulnerability. Ecava has developed a patch release for IntegraXor to address this vulnerability. ICS-CERT has validated the patch."
ICSA-11-147-02,https://www.us-cert.gov/ics/advisories/ICSA-11-147-02,2011-05-27,2013-04-30,Ecava IntegraXor XSS,1,Ecava," ICS-CERT received a report from an anonymous security reseacher concerning several cross site scripting (XSS) vulnerabilities in the Ecava IntegraXor SCADA product. ICS-CERT has worked with the reseacher and Ecava to validate these vulnerabilities. Ecava has developed a patch release of IntegraXor to address these vulnerabilities. The independent security reseacher has validated this patch."
ICSA-11-161-01,https://www.us-cert.gov/ics/advisories/ICSA-11-161-01,2011-06-10,2013-08-29,Rockwell RSLinx EDS Vulnerability,1,Rockwell Automation," ICS-CERT has received a report from Michael Orlando of CERT Coordination Center (CERT/CC) identifying a vulnerability in Rockwell Automation Electronic Data Sheet (EDS) Hardware Installation Tool. This tool is bundled with RSLinx Classic for normal distribution. The install tool exhibits a buffer overflow vulnerability when parsing improperly formatted EDS files. This vulnerability is likely exploitable and could allow remote code execution, though that would require significant user interaction. Rockwell Automation has released a patch that has been verified by CERT/CC."
